fips,county,state,block_type,year
9001,Fairfield County,Connecticut,IMPED,2014.0
9003,Hartford County,Connecticut,IMPED,2014.0
9005,Litchfield County,Connecticut,IMPED,2014.0
9007,Middlesex County,Connecticut,IMPED,2014.0
9009,New Haven County,Connecticut,IMPED,2014.0
9011,New London County,Connecticut,IMPED,2014.0
9013,Tolland County,Connecticut,IMPED,2014.0
9015,Windham County,Connecticut,IMPED,2014.0
10001,Kent County,Delaware,IMPED,2023.0
18057,Hamilton County,Indiana,IMPED,2022.0
18067,Howard County,Indiana,IMPED,2015.0
18073,Jasper County,Indiana,IMPED,2019.0
18085,Kosciusko County,Indiana,IMPED,2022.0
18103,Miami County,Indiana,IMPED,2018.0
18107,Montgomery County,Indiana,IMPED,2019.0
18113,Noble County,Indiana,IMPED,2013.0
18139,Rush County,Indiana,IMPED,2019.0
18159,Tipton County,Indiana,IMPED,2016.0
18183,Whitley County,Indiana,IMPED,2022.0
19023,Butler County,Iowa,IMPED,2022.0
19049,Dallas County,Iowa,IMPED,2022.0
19135,Monroe County,Iowa,IMPED,2020.0
19147,Palo Alto County,Iowa,IMPED,2022.0
19193,Woodbury County,Iowa,IMPED,2023.0
20021,Cherokee County,Kansas,IMPED,2022.0
20093,Kearny County,Kansas,IMPED,2009.0
20103,Leavenworth County,Kansas,IMPED,2022.0
20151,Pratt County,Kansas,IMPED,2017.0
22053,Jefferson Davis Parish,Louisiana,IMPED,2020.0
24001,Allegany County,Maryland,IMPED,2019.0
26047,Emmet County,Michigan,IMPED,2021.0
26105,Mason County,Michigan,IMPED,2018.0
26155,Shiawassee County,Michigan,IMPED,2018.0
31017,Brown County,Nebraska,IMPED,2023.0
31019,Buffalo County,Nebraska,IMPED,2023.0
31043,Dakota County,Nebraska,IMPED,2023.0
31047,Dawson County,Nebraska,IMPED,2023.0
31067,Gage County,Nebraska,IMPED,2021.0
31081,Hamilton County,Nebraska,IMPED,2020.0
31095,Jefferson County,Nebraska,IMPED,2023.0
31109,Lancaster County,Nebraska,IMPED,2022.0
31171,Thomas County,Nebraska,IMPED,2019.0
31183,Wheeler County,Nebraska,IMPED,2021.0
37031,Carteret County,North Carolina,IMPED,2013.0
37049,Craven County,North Carolina,IMPED,2021.0
37097,Iredell County,North Carolina,IMPED,2017.0
38023,Divide County,North Dakota,IMPED,2017.0
50001,Addison County,Vermont,IMPED,2017.0
50003,Bennington County,Vermont,IMPED,2017.0
50005,Caledonia County,Vermont,IMPED,2017.0
50007,Chittenden County,Vermont,IMPED,2017.0
50009,Essex County,Vermont,IMPED,2017.0
50011,Franklin County,Vermont,IMPED,2017.0
50013,Grand Isle County,Vermont,IMPED,2017.0
50015,Lamoille County,Vermont,IMPED,2017.0
50017,Orange County,Vermont,IMPED,2017.0
50019,Orleans County,Vermont,IMPED,2017.0
50021,Rutland County,Vermont,IMPED,2017.0
